,Word,Rating,Year,Ship,Line,Negative,Positive,Total
2209,english abilities,good,2015,MSC Divina,Msc,1.0,0.0,1.0
2210,english breakfast,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2211,english breakfast tea,good,2012,MSC Musica,Msc,0.0,1.0,1.0
2212,english breakfast tea,good,2013,MSC Orchestra,Msc,0.0,1.0,1.0
2213,english channel,bad,2011,MSC Opera,Msc,1.0,0.0,1.0
2214,english people,bad,2009,MSC Poesia,Msc,0.0,1.0,1.0
2215,english programs,good,2013,MSC Poesia,Msc,1.0,0.0,1.0
2216,english run trivia,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2217,english shore tours,bad,2010,MSC Lirica,Msc,1.0,0.0,1.0
2218,english skills,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2219,english speaker,good,2013,MSC Preziosa,Msc,1.0,0.0,1.0
2220,english speakers,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
2221,english speaking crew,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
2222,english speaking cruisers,bad,2011,MSC Orchestra,Msc,1.0,0.0,1.0
2223,english speaking kids,good,2011,MSC Armonia,Msc,1.0,0.0,1.0
2224,english speaking orientation,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2225,english trips,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
2226,english v foreigner,bad,2012,MSC Fantasia,Msc,1.0,0.0,1.0
2227,enjoyable afternoons,good,2013,MSC Preziosa,Msc,0.0,1.0,1.0
2228,enjoyable aspects,bad,2008,MSC Orchestra,Msc,0.0,1.0,1.0
2229,enjoyable city tour,good,2010,MSC Splendida,Msc,0.0,1.0,1.0
2230,enjoyable cruise,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
2231,enjoyable cruise,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
2232,enjoyable cruise,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2233,enjoyable cruise,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2234,enjoyable cruise,good,2015,MSC Divina,Msc,0.0,1.0,1.0
2235,enjoyable cruises,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
2236,enjoyable experience,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
2237,enjoyable holiday,good,2011,MSC Fantasia,Msc,0.0,1.0,1.0
2238,enjoyable holiday,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2239,enjoyable journey,bad,2010,MSC Orchestra,Msc,0.0,1.0,1.0
2240,enjoyable occcassions,good,2011,MSC Orchestra,Msc,0.0,1.0,1.0
2241,enjoyable ports,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2242,enjoyable time,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
2243,enjoyable tour,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2244,enjoyable trip,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2245,enormous theatre,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
2246,enormous variety,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2247,ensuite area,good,2012,MSC Lirica,Msc,0.0,1.0,1.0
2248,entertain my request,bad,2011,MSC Opera,Msc,1.0,0.0,1.0
2249,entertain my son,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
2250,entertainers half way,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
2251,entertainment,bad,2011,MSC Magnifica,Msc,1.0,0.0,1.0
2252,entertainment,bad,2011,MSC Opera,Msc,1.0,0.0,1.0
2253,entertainment,bad,2011,MSC Poesia,Msc,1.0,0.0,1.0
2254,entertainment,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
2255,entertainment,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2256,entertainment aboard,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2257,entertainment area,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
2258,entertainment brilliant,good,2013,MSC Splendida,Msc,0.0,1.0,1.0
2259,entertainment crew,bad,2009,MSC Opera,Msc,0.0,1.0,1.0
2260,entertainment crew,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2261,entertainment crew,good,2011,MSC Musica,Msc,0.0,1.0,1.0
2262,entertainment crew,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2263,entertainment crew,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2264,entertainment first class,good,2014,MSC Armonia,Msc,0.0,1.0,1.0
2265,entertainment heavy users,good,2010,MSC Splendida,Msc,0.0,1.0,1.0
2266,entertainment manager,bad,2010,MSC Magnifica,Msc,0.0,1.0,1.0
2267,entertainment program,bad,2012,MSC Magnifica,Msc,1.0,0.0,1.0
2268,entertainment shows,good,2010,MSC Splendida,Msc,0.0,1.0,1.0
2269,entertainment staff,bad,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2270,entertainment staff,bad,2009,MSC Poesia,Msc,0.0,1.0,1.0
2271,entertainment staff,bad,2012,MSC Magnifica,Msc,1.0,0.0,1.0
2272,entertainment staff,bad,2014,MSC Divina,Msc,0.0,2.0,2.0
2273,entertainment staff,good,2009,MSC Lirica,Msc,1.0,0.0,1.0
2274,entertainment staff,good,2009,MSC Orchestra,Msc,0.0,3.0,3.0
2275,entertainment staff,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
2276,entertainment staff,good,2010,MSC Splendida,Msc,0.0,1.0,1.0
2277,entertainment staff,good,2011,MSC Divina,Msc,0.0,1.0,1.0
2278,entertainment staff,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
2279,entertainment staff,good,2014,MSC Divina,Msc,0.0,3.0,3.0
2280,entertainment staff,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2281,entertainment staff,good,2015,MSC Divina,Msc,0.0,1.0,1.0
2282,entertainment staff work,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2283,entertainment team,bad,2010,MSC Poesia,Msc,0.0,1.0,1.0
2284,entertainment team,bad,2014,MSC Divina,Msc,0.0,2.0,2.0
