,Word,Rating,Year,Ship,Line,Negative,Positive,Total
2700,cotton club,good,2014,MSC Opera,Msc,0.0,2.0,2.0
2701,cotton house coats,bad,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2702,couch bed,good,2011,MSC Fantasia,Msc,0.0,1.0,1.0
2703,counselor,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
2704,counselors,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
2705,countless little kids,bad,2011,MSC Fantasia,Msc,1.0,0.0,1.0
2706,countless strollers,good,2012,MSC Splendida,Msc,1.0,0.0,1.0
2707,country,bad,2011,MSC Poesia,Msc,1.0,0.0,1.0
2708,country,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2709,country roads,bad,2011,MSC Opera,Msc,1.0,0.0,1.0
2710,couple,good,2011,MSC Musica,Msc,0.0,1.0,1.0
2711,couple,good,2012,MSC Armonia,Msc,0.0,1.0,1.0
2712,couple,good,2013,MSC Poesia,Msc,2.0,0.0,2.0
2713,couple,good,2013,MSC Preziosa,Msc,0.0,1.0,1.0
2714,couple specialty pizzas,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2715,couple times,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
2716,couples,bad,2011,MSC Magnifica,Msc,0.0,1.0,1.0
2717,couples,bad,2013,MSC Splendida,Msc,0.0,1.0,1.0
2718,couples massage,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2719,coupon book,good,2008,MSC Musica,Msc,0.0,1.0,1.0
2720,coupon book,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
2721,coupon books,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2722,coupons,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
2723,course,good,2010,MSC Poesia,Msc,1.0,0.0,1.0
2724,course,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2725,course,good,2013,MSC Armonia,Msc,1.0,0.0,1.0
2726,course,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2727,course,good,2014,MSC Lirica,Msc,0.0,1.0,1.0
2728,course dancers,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
2729,course dinner,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2730,course evening menu,bad,2012,MSC Splendida,Msc,0.0,1.0,1.0
2731,course feasts,good,2012,MSC Sinfonia,Msc,0.0,1.0,1.0
2732,course lunches,good,2012,MSC Opera,Msc,0.0,1.0,1.0
2733,course meal,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
